nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.13863339,0.3709677,0.21264313,0.47026423,0.20966512,0.44409853,0.38327974,0.4681537,0.3609147,0.45141068,0.49267167,0.38088745,0.45576075,0.38144708,0.48239973,0.5696062,0.47476786,0.5388622,0.6927002,0.4166821,0.6558747,0.39650297,0.93354243,0.4406234,0.82669735,0.50693023,backhand
0.13477397,0.37530693,0.20095605,0.473837,0.19378498,0.4621043,0.36458096,0.48856488,0.34049314,0.45190406,0.4813085,0.3976827,0.44847694,0.39778227,0.46166897,0.56719804,0.45332232,0.5371218,0.6471384,0.42450714,0.5796559,0.37459505,0.87497646,0.47225755,0.7701396,0.5056012,backhand
0.1386584,0.37944698,0.19517875,0.49915892,0.2096023,0.42492226,0.3655431,0.50703794,0.3653133,0.4392816,0.5033857,0.39359415,0.47964966,0.39095435,0.462102,0.56889325,0.46023393,0.5080766,0.6634272,0.43187165,0.569399,0.35416868,0.8782298,0.4950273,0.685323,0.45577157,backhand
0.13716194,0.38747087,0.20106995,0.526335,0.22039251,0.41489327,0.3800565,0.5357392,0.36937702,0.42258635,0.49249813,0.44463697,0.46831313,0.40622315,0.4659168,0.58625144,0.45679584,0.4943884,0.67346257,0.45374766,0.56027836,0.36153924,0.88927895,0.53082746,0.7128812,0.45400548,backhand
0.13738176,0.3759985,0.1916601,0.516509,0.22390999,0.4073901,0.36947086,0.5290364,0.3683233,0.42920727,0.4905514,0.44105086,0.47114876,0.41393766,0.45927784,0.5859245,0.45263764,0.4917658,0.6770764,0.45388535,0.5527156,0.35522377,0.87949485,0.56141853,0.68715703,0.44904944,backhand
0.14148591,0.37575674,0.19439939,0.5044664,0.22045119,0.41049978,0.367472,0.53194475,0.36943376,0.42462102,0.4709017,0.4451834,0.46400946,0.41119012,0.45433322,0.5882969,0.44833565,0.49753138,0.68000895,0.4703563,0.5526589,0.37264255,0.8756839,0.5891681,0.7014129,0.38687882,backhand
0.1383687,0.36151943,0.19437681,0.50041103,0.21864781,0.3927643,0.3687198,0.5302971,0.385573,0.41291824,0.47385183,0.42944556,0.4732705,0.4007369,0.46118087,0.5872968,0.45737845,0.49392375,0.7016604,0.48101565,0.56178546,0.37375247,0.88640785,0.6108305,0.6836036,0.3454425,backhand
0.13300501,0.35696813,0.18839549,0.48306638,0.20984413,0.3842024,0.35787767,0.53115433,0.36641222,0.40901837,0.47611555,0.43985665,0.46299604,0.39993703,0.45076555,0.5857865,0.4457248,0.4966803,0.6999155,0.49475652,0.5765384,0.3680194,0.88993174,0.6341329,0.6657176,0.31009594,backhand
0.12952103,0.34923565,0.18959267,0.4602871,0.19451025,0.40540665,0.35899204,0.5225108,0.36351395,0.4117959,0.47716078,0.4436416,0.4634228,0.4099375,0.447988,0.5807114,0.44490972,0.51703995,0.7018792,0.5138217,0.550221,0.3731659,0.8861882,0.66496265,0.66408306,0.29605517,backhand
0.1304228,0.3378826,0.21728578,0.3828877,0.17946637,0.45961973,0.391388,0.4196891,0.35395914,0.47567907,0.4867764,0.39432335,0.4745109,0.40505436,0.45717582,0.54627883,0.45377597,0.555818,0.70571244,0.52191997,0.552426,0.37160307,0.8831058,0.6692637,0.6669205,0.2948045,backhand
0.12810501,0.33253083,0.21560128,0.36479843,0.18194354,0.46192822,0.3792908,0.375933,0.34026447,0.4661619,0.47359616,0.36864582,0.45064324,0.40113667,0.46081114,0.53458416,0.45017186,0.5540116,0.7132978,0.52770287,0.52098197,0.35410058,0.88427407,0.68220544,0.6589507,0.2984363,backhand
0.13992105,0.3115049,0.21063668,0.38975745,0.19229034,0.40791994,0.37601662,0.42531973,0.35203916,0.40278357,0.4858223,0.37435505,0.46962163,0.36455658,0.46224052,0.51196575,0.45413706,0.49675864,0.7047458,0.5043934,0.54337406,0.340831,0.8725742,0.6709959,0.67239475,0.27791205,backhand
0.13241354,0.3177202,0.21231951,0.34810323,0.19404776,0.4350612,0.38468692,0.33035994,0.32131523,0.46121982,0.46422112,0.31722525,0.4535359,0.39075238,0.4703506,0.4831709,0.46348608,0.52232045,0.7124956,0.5086425,0.5513768,0.33866942,0.8631387,0.66870564,0.68374807,0.30098185,backhand
0.13642284,0.2976272,0.212289,0.34862074,0.19142638,0.38485914,0.3858828,0.35195467,0.34581247,0.36208776,0.4765485,0.2862311,0.4543194,0.29584607,0.4710854,0.49080998,0.4550999,0.4986672,0.7272901,0.47717527,0.4951717,0.294529,0.8571712,0.6510733,0.6923533,0.3356607,backhand
0.12806155,0.28954747,0.21367504,0.35330176,0.19088157,0.3983573,0.38811055,0.33638087,0.34805307,0.38384566,0.5124957,0.26077977,0.474212,0.3134828,0.47412622,0.48286515,0.46202475,0.50979,0.7387108,0.47768503,0.51555586,0.2884816,0.87135,0.66799366,0.7318214,0.35038978,backhand
0.13503921,0.29475236,0.22097312,0.3241304,0.18251994,0.43086758,0.37451777,0.32286042,0.30144453,0.4283723,0.39280716,0.2607304,0.36222556,0.34053156,0.47810534,0.48772874,0.4626175,0.5546668,0.74863774,0.49844828,0.5299925,0.38135058,0.8566032,0.7074842,0.74779224,0.37082708,backhand
0.14961599,0.29612407,0.23795927,0.29440355,0.1976731,0.43919381,0.3710749,0.2000585,0.29202384,0.44182277,0.33119133,0.24028143,0.30397436,0.32823232,0.49155086,0.45655698,0.4716547,0.5457479,0.7529797,0.49247244,0.5797263,0.4018226,0.8534101,0.70142424,0.7796114,0.37532982,backhand
0.1396234,0.31532753,0.20852862,0.30793017,0.18689962,0.49199134,0.23689799,0.26136708,0.23293288,0.4560178,0.2087562,0.28850573,0.21322921,0.3926135,0.49688533,0.47363412,0.47835255,0.5671951,0.76329964,0.5206038,0.60351366,0.44274402,0.870121,0.7414838,0.81331605,0.42637733,backhand
0.113682754,0.33120245,0.2032197,0.36994597,0.19686756,0.42039385,0.21646406,0.36670443,0.22339284,0.437115,0.12292777,0.36808634,0.13660805,0.40028313,0.49154568,0.47854385,0.48527426,0.49363253,0.73533565,0.48481598,0.66507417,0.44851342,0.8689795,0.7117751,0.8290366,0.43127462,backhand
0.11090643,0.24985565,0.23522985,0.20738362,0.1881771,0.39514595,0.21216017,0.3070333,0.24849442,0.5267714,0.071021974,0.4102991,0.115711175,0.45981157,0.51478064,0.40354586,0.4879529,0.51125234,0.7688518,0.45009252,0.5879441,0.4033817,0.8716692,0.64755154,0.83837694,0.4125439,backhand
0.14016527,0.32367516,0.2616232,0.27340466,0.21872616,0.45568284,0.18583012,0.367557,0.28299254,0.60744715,0.08759239,0.50821537,0.09266713,0.5387577,0.5206165,0.45217475,0.4993009,0.559357,0.73981786,0.46385255,0.7079666,0.48222592,0.8862834,0.67111576,0.866291,0.49523407,backhand
0.14261363,0.3530652,0.26470557,0.29768053,0.22823812,0.47167295,0.24681072,0.40619376,0.30386677,0.62533206,0.13949461,0.5540756,0.18790348,0.5873844,0.52822524,0.45192137,0.5043959,0.5602438,0.7195411,0.47242704,0.69157606,0.46301433,0.8819781,0.5885826,0.8605512,0.5136155,backhand
0.105705425,0.38191965,0.23431009,0.32631972,0.19644454,0.49957615,0.22973517,0.45717317,0.29443914,0.63799965,0.13839345,0.53156525,0.14078227,0.599573,0.49369416,0.45581883,0.4758902,0.55922985,0.6932127,0.48672333,0.66913635,0.56667745,0.87180394,0.52720183,0.8577759,0.5632978,backhand
0.1207938,0.39623144,0.25271353,0.33375248,0.21728578,0.5274634,0.39449662,0.28333527,0.3348393,0.6517834,0.3065082,0.3106999,0.22332245,0.6054538,0.5178651,0.45916018,0.49177963,0.56815344,0.7018202,0.4674383,0.6763847,0.57377356,0.89437085,0.5077415,0.87396234,0.56737715,backhand
0.12058157,0.4125233,0.25228256,0.36912784,0.21332161,0.5599286,0.4015625,0.30463603,0.36591917,0.6536234,0.34825426,0.3370455,0.26674503,0.60459155,0.5044139,0.46988702,0.48753646,0.58054274,0.6972226,0.46602544,0.68201655,0.59532,0.88363147,0.43334433,0.89197034,0.5856393,backhand
0.14291108,0.4293057,0.23645116,0.45253468,0.2326807,0.4837859,0.34677976,0.48663154,0.35494342,0.51695436,0.2696661,0.5428757,0.2797196,0.5849545,0.49969813,0.5189651,0.50315404,0.530202,0.709624,0.44249558,0.67845786,0.6162752,0.9104301,0.35978875,0.8909902,0.60556126,backhand
0.1396603,0.44575194,0.23794226,0.3843615,0.227796,0.56870955,0.3417075,0.3806725,0.39866003,0.61416215,0.29156467,0.4354675,0.30657062,0.5793833,0.50854826,0.45930642,0.5055033,0.5574139,0.70036405,0.4131854,0.64744097,0.6248177,0.87934375,0.315174,0.87892413,0.6110192,backhand
0.1505744,0.47443968,0.26188302,0.4083528,0.2534015,0.5929274,0.3442037,0.373122,0.4165058,0.62838835,0.2984741,0.43397543,0.36389485,0.5758906,0.53920925,0.45718727,0.5392003,0.56238395,0.7371611,0.38804984,0.6507172,0.6686307,0.91932917,0.24836968,0.89478666,0.6449492,backhand
0.1626337,0.51633054,0.26262376,0.44806793,0.26965603,0.6112368,0.37002185,0.4623212,0.42313877,0.64982414,0.31478348,0.53454095,0.35870883,0.612792,0.55377674,0.4680557,0.55784285,0.5694049,0.725343,0.3825495,0.62587565,0.7046871,0.8933795,0.23783965,0.8715987,0.6724149,backhand
0.18069215,0.55972546,0.2639928,0.47953007,0.2862705,0.631859,0.39972082,0.4892401,0.4497305,0.6541489,0.28958008,0.57523113,0.35266688,0.6708183,0.56427056,0.46619728,0.5751351,0.5655952,0.72972536,0.37294254,0.6303198,0.7283315,0.88348025,0.23117448,0.8856687,0.6871358,backhand
